,FIPS,poor_air_quality,county_name,pop_12,lo_store_pct,child_lo_store_pct,seniors_lo_store_pct,households_lo_car_store_pct,snap_spend_per_store,snap_per_capita,adult_diabetes_rate,adult_obese_rate,child_obese_rate,active_high_schoolers,rec_facil_per1k,household_foodinsec,child_foodinsec,milk_price,soda_price,milk_soda_price,soda_tax_stores,soda_tax_vending,chips_tax_stores,chips_tax_vending,food_tax,fastfood_per1k,full_service_per1k,per_capita_fast_food,per_capita_full_service,grocery_per1k,superstore_per1k,convenience_per1k,spec_per1k,snap_stores_per1k,wic_stores_per1k,pct_white,pct_black,pct_hisp,pct_asian,pct_native,pct_hawaii,pct_over65,pct_under18,median_hh_income,poverty_rate,per_poverty_county_class,child_poverty_rate,per_child_poverty_county_class,pop_loss_class,pop_density,pct_nonenglish_hh,avg_hh_size,pct_hh_65plus_livealone,unemployment,pct_employed_agriculture,pct_employed_manufacturing,pct_employed_services,pct_employed_govt,farming_dependent,manufacturing_dependent,mining_dependent,govt_dependent,recreation_county,low_education_county,low_employment_county,retirement_destination_county,hi_natural_amenity,hi_creative_class,vets_pct,inactivity_rate,per_capita_income,death_rate_alz,mortality_rate,State,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,metro_1mil_plus,metro_250k_1mil,metro_adj_20k,noncore_largemetroadj,smallmetroadj_20k,small_metro_adj_2500,noncore_smallmetroadj_2500,micro_nonmetroadj,noncore_microadj_lessthan20k,noncore_microadj_lessthan2500,noncore_nonadj_lessthan2500,noncore_nonadj_notown,no_high_school,hs_only,some_college,assoc_degree,college_plus,dia_death_rate
0,2020.0,1.0,Anchorage,298610.0,30.14785441,7.854032514,2.079894533,0.965764684,534784.1691,15.15914735,7.0,28.4,13.9923231511,20.2,0.120558588,12.1,8.0,0.974381691122,0.987702783247,0.915595774963,0.0,0.0,0.0,0.0,0.0,0.686514182,0.776933123,582.7155098,688.0841941,0.117209738,0.040186196,0.20093098,0.056930444,0.389303774,0.0837212,62.644864,5.245592,7.559642,7.952684,7.554844,1.979262,7.2437,25.969585,70524.0,9.6,0.0,12.2,0.0,0.0,171.2,4.6,2.8,5.4,5.2,3.6,2.0,55.6,11.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-99.0,1.0,14.1,16.5,36508.0,65.9,738.9,AK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,23.3,27.7,8.6,32.9,23.1
1,2090.0,1.0,Fairbanks North Star,100272.0,37.14763806,9.87832999,2.38177466,3.167984852,664184.2005,12.08483209,6.1,28.4,13.9923231511,20.2,0.07978299,12.1,8.0,0.974381691122,0.987702783247,0.915595774963,0.0,0.0,0.0,0.0,0.0,0.398914951,0.678155417,582.7155098,688.0841941,0.07978299,0.039891495,0.239348971,0.07978299,0.248490772,0.079783,74.050276,4.256976,5.791086,2.574272,6.834322,0.384296,6.533034,25.620766,60472.0,9.4,0.0,12.5,0.0,0.0,13.3,1.7,2.7,5.8,5.8,3.6,1.7,52.0,12.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-99.0,1.0,16.0,18.0,32906.0,54.2,750.0,AK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,24.2,29.5,9.1,30.5,18.1
2,2122.0,1.0,Kenai Peninsula,56900.0,20.37849871,5.027764687,2.448888987,3.33756928,302535.5603,14.87515042,6.7,28.4,13.9923231511,20.2,0.175746924,12.1,8.0,0.974381691122,0.987702783247,0.915595774963,0.0,0.0,0.0,0.0,0.0,0.597539543,1.265377856,582.7155098,688.0841941,0.263620387,0.035149385,0.439367311,0.158172232,0.597539543,0.1933216,82.814079,0.447653,2.962094,1.108303,7.166065,0.200361,11.32852,23.666065,57347.0,10.7,0.0,14.4,0.0,0.0,3.4,1.1,2.5,8.5,7.8,13.2,4.2,48.8,6.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-99.0,0.0,13.7,20.3,31611.0,57.4,768.8,AK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.7,32.4,29.9,7.7,23.3,22
3,2170.0,1.0,Matanuska-Susitna,93925.0,22.96278229,6.306636877,1.886819767,2.576472981,515512.2137,17.07680207,6.8,28.4,13.9923231511,20.2,0.074527549,12.1,8.0,0.974381691122,0.987702783247,0.915595774963,0.0,0.0,0.0,0.0,0.0,0.383284536,0.532339633,582.7155098,688.0841941,0.106467927,0.031940378,0.234229438,0.053233963,0.389495165,0.0851743,82.786673,0.918029,3.709197,1.207933,5.320524,0.240463,7.943143,28.899376,68670.0,10.9,0.0,14.1,0.0,0.0,3.6,1.6,3.0,5.5,8.0,6.1,2.7,49.2,9.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-99.0,1.0,14.6,20.1,30013.0,79.6,797.3,AK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,32.1,30.1,9.3,20.9,22.5
4,4003.0,1.0,Cochise,132088.0,39.30480671,8.671918419,7.686568194,2.959605801,344038.7216,21.6113754,9.0,26.8,7.2,25.7,0.075707104,14.9,10.9,0.7460754,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0,0.469384047,0.741929623,760.5004608,758.6283717,0.121131367,0.022712131,0.446671916,0.037853552,0.767165324,0.1211314,58.475325,3.758013,32.390023,1.834848,0.752973,0.288551,17.273461,23.030774,43677.0,17.7,0.0,26.9,0.0,0.0,21.3,12.9,2.5,13.0,8.3,3.6,3.5,53.6,17.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,19.6,20.9,23552.0,44.8,781.4,AZ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,23.7,29.1,10.4,23.1,20.6
5,4007.0,1.0,Gila,53144.0,23.90305272,4.975510178,5.654098766,3.529097189,457717.2582,30.69690698,11.2,26.8,10.6,25.7,0.075267199,14.9,10.9,0.7460754,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0,0.602137588,0.997290381,760.5004608,758.6283717,0.131717597,0.037633599,0.564503989,0.037633599,0.824803051,0.1693512,65.858164,0.363826,17.889061,0.477639,14.207885,0.063436,23.228912,21.402317,37430.0,19.8,0.0,33.6,0.0,0.0,11.3,3.1,2.5,14.7,8.3,9.3,2.8,55.1,7.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,14.4,24.5,20857.0,52.8,894.8,AZ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,30.1,28.0,8.3,17.1,28.2
6,4013.0,1.0,Maricopa,3942169.0,12.89667448,3.089849113,2.029047185,0.784539969,452618.9463,19.40784555,8.0,26.8,14.9,25.7,0.067221877,14.9,10.9,0.7460754,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0,0.699614857,0.564156433,760.5004608,758.6283717,0.125058058,0.023844741,0.248594112,0.048450485,0.531306496,0.1062867,58.684473,4.649844,29.570511,3.361202,1.552271,0.176128,12.120168,26.403723,50424.0,16.6,0.0,23.5,0.0,0.0,414.9,14.3,2.7,8.7,5.8,0.7,7.9,60.3,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.2,18.2,27477.0,59.2,720.1,AZ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,23.3,25.0,8.4,30.0,20.4
7,4021.0,1.0,Pinal,387365.0,17.34842335,3.438949408,4.33184842,2.825873772,496771.6816,17.84721396,10.4,26.8,13.6,25.7,0.025815445,14.9,10.9,0.7460754,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0,0.345926968,0.276225266,760.5004608,758.6283717,0.067120158,0.015489267,0.185871207,0.023233901,0.405302492,0.0774463,58.675786,4.259787,28.468744,1.627059,4.633153,0.396253,13.857147,26.532187,49833.0,14.4,0.0,18.4,0.0,0.0,70.0,9.3,2.9,9.4,7.1,3.7,9.1,53.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,12.4,24.5,20983.0,41.0,681.3,AZ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,29.9,27.8,9.3,17.8,21.2
8,4023.0,1.0,Santa Cruz,47303.0,27.52490419,8.034332383,4.009242723,1.385846046,699185.0585,30.84808488,6.4,26.8,16.7,25.7,0.021140308,14.9,10.9,0.7460754,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0,0.570788322,0.909033254,760.5004608,758.6283717,0.147982158,0.021140308,0.380525548,0.105701541,0.558456476,0.1057015,15.951075,0.187685,82.819485,0.495571,0.242514,0.014762,13.125264,30.704344,33952.0,28.0,0.0,43.5,1.0,0.0,38.3,54.7,3.0,9.2,12.9,2.7,6.2,42.5,8.6,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.6,17.7,17900.0,41.6,604.2,AZ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,25.9,19.1,6.1,22.0,30.4
9,4025.0,1.0,Yavapai,212637.0,33.2874608,6.538602802,8.281396547,2.264619041,331628.8919,17.83631955,9.3,26.8,10.2,25.7,0.11286841,14.9,10.9,0.7460754,0.9951802,0.6935429,0.0,0.0,0.0,0.0,0.0,0.639587654,0.954678631,760.5004608,758.6283717,0.183411166,0.023514252,0.362119481,0.061137055,0.634884804,0.1034627,81.962537,0.523141,13.613037,0.806983,1.326333,0.086242,24.056427,19.08185,40562.0,18.3,0.0,28.0,0.0,0.0,26.0,4.1,2.3,15.4,6.3,2.8,4.8,60.7,4.8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,15.7,20.4,25068.0,53.8,749.7,AZ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,25.9,30.1,9.0,24.9,13
